iter	RMSE
0	8.523306439
1	7.624534782
2	6.844210521
3	6.162146734
4	5.562322266
5	5.045912147
6	4.596341685
7	4.193761496
8	3.858211739
9	3.566873381
10	3.30847489
11	3.084546737
12	2.891972953
13	2.733969479
14	2.588808543
15	2.468302518
16	2.361179846
17	2.267231278
18	2.188151738
19	2.119755844
20	2.059399074
21	2.006597652
22	1.954380406
23	1.908570124
24	1.870170454
25	1.833583425
26	1.796371324
27	1.766769507
28	1.740342738
29	1.714274661
30	1.692622786
31	1.674316168
32	1.651928558
33	1.634346047
34	1.615089644
35	1.593641579
36	1.579601839
37	1.566209872
38	1.555225463
39	1.539358849
40	1.525679798
41	1.512649463
42	1.499277029
43	1.487127346
44	1.477779675
45	1.467230823
46	1.457517577
47	1.447956813
48	1.438933904
49	1.428704188
50	1.419956451
51	1.411059128
52	1.400556572
53	1.394216312
54	1.386399331
55	1.376819569
56	1.369165965
57	1.362369364
58	1.356500387
59	1.34928506
60	1.3418749
61	1.335693818
62	1.324491627
63	1.319224232
64	1.312844882
65	1.306427476
66	1.301220593
67	1.295108901
68	1.288903361
69	1.283113867
70	1.276499483
71	1.270259628
72	1.264301878
73	1.259774868
74	1.253101572
75	1.247613381
76	1.242745024
77	1.236584822
78	1.23110189
79	1.225420307
80	1.220709037
81	1.216285736
82	1.211284362
83	1.206024619
84	1.200980094
85	1.1967349
86	1.191394264
87	1.187237073
88	1.183346478
89	1.179429843
90	1.175130902
91	1.170818441
92	1.167173677
93	1.159495025
94	1.155178844
95	1.15124927
96	1.146821175
97	1.142745299
98	1.135007069
99	1.131102288
100	1.127320104
101	1.123690076
102	1.119068103
103	1.116188464
104	1.113197539
105	1.11006677
106	1.106851831
107	1.103774475
108	1.100896499
109	1.098461335
110	1.094804766
111	1.092136638
112	1.088606388
113	1.085634885
114	1.082399545
115	1.078695982
116	1.073811365
117	1.070596729
118	1.066787616
119	1.063169485
120	1.060103565
121	1.057359222
122	1.055134877
123	1.051233912
124	1.048769216
125	1.046184083
126	1.042796201
127	1.038293079
128	1.035977841
129	1.03317972
130	1.030215683
131	1.027828677
132	1.025002871
133	1.022490615
134	1.020088742
135	1.017733828
136	1.014116436
137	1.011025765
138	1.008709556
139	1.006819612
140	1.00432714
141	1.002148255
142	0.999562195
143	0.9965511303
144	0.9932258306
145	0.9905877615
146	0.9881736493
147	0.9857846681
148	0.9840610523
149	0.98140604
150	0.97976448
151	0.9767348073
152	0.9746016615
153	0.9709144351
154	0.9686684949
155	0.9665758243
156	0.9642076641
157	0.9619837762
158	0.9598566832
159	0.9563965474
160	0.9542182598
161	0.9523305467
162	0.9503325646
163	0.9478166108
164	0.9456594538
165	0.9437523361
166	0.9415009294
167	0.9400326901
168	0.9383767494
169	0.9351845019
170	0.9330148898
171	0.930464942
172	0.9286366247
173	0.9267687963
174	0.9250883239
175	0.9222040626
176	0.9200323904
177	0.9175644522
178	0.9153910316
179	0.9136354707
180	0.9118829904
181	0.9104393629
182	0.9087870927
183	0.9070504111
184	0.9058451944
185	0.90419261
186	0.9027277207
187	0.9013410101
188	0.8995041906
189	0.8979794824
190	0.8959567184
191	0.894480995
192	0.8929080663
193	0.891261151
194	0.8898646702
195	0.8880998068
196	0.8860410163
197	0.8847916193
198	0.8835331649
199	0.8825791116
200	0.8810873613
201	0.8787999668
202	0.8762312347
203	0.8743441211
204	0.8728340826
205	0.8711973466
206	0.8695136438
207	0.8678652384
208	0.8665668313
209	0.8650070363
210	0.8635704491
211	0.8625162089
212	0.8606689211
213	0.859254502
214	0.8578567846
215	0.8570155098
216	0.855636837
